comment_id,video_id,author_channel_id,channel_id,author_name,handle_autor,es_respuesta,comment_id_padre,me_gusta,respuestas,published_text,texto_original,texto_limpio,urls,hashtags,menciones,emojis
Ugw-J65a1iYL9hqhELh4AaABAg,j43HgwYFKfk,UCdFlugHJJa4l3YqWuNRmvXw,UCE4rsXcgDb6e1-a9iTbWzfg,@MarcosCarillo-b1r,@MarcosCarillo-b1r,False,,0,0,hace 6 meses,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,corrupto amigo viejo fiscal verbo cárcel,[],[],[],[]
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,06mFNPU0aB8,UCvl1tzQeBeGy6efPTRJXSCw,UCVpSRoZgngfSL03Nlbjtq9A,@RaulPerez-cw2vi,@RaulPerez-cw2vi,False,,0,0,hace 2 semanas,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",joven buscar trabajo suerte policía gustar var vestir mujer ensamblar maquinaria,[],[],[],[]
Ugw0xaOb2CYXXoudtwJ4AaABAg,j43HgwYFKfk,UCRAquv8el-tQ30bN7MlmySQ,UCE4rsXcgDb6e1-a9iTbWzfg,@iamjimalesssa,@iamjimalesssa,False,,4,0,hace 1 año,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",dejar gana demandar ilegalidad reunión virtual maquila,[],[],[],[]
Ugw0xgUc2ISpBr5_T654AaABAg,j43HgwYFKfk,UCkbsS_3D-pvg1iHOld9uvIg,UCE4rsXcgDb6e1-a9iTbWzfg,@gonzalo6075,@gonzalo6075,False,,0,0,hace 1 año,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,mafioso mazariegos cárcel tiempo sombra,[],[],[],[]
Ugw1ZzA21njWhaqQQTh4AaABAg,OkXlHx0hx-8,UCOLHH4ZpMxPYF-Q6e6wvn5A,UCRwA1NUcUnwsly35ikGhp0A,@luisroldan7374,@luisroldan7374,False,,2,1,hace 1 día,"eso es para que salga de USA por su propio pie 
que se auto deporten",salir pie auto deportar,[],[],[],[]
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,OkXlHx0hx-8,UCi2KiZq63sRq8Mfbcp-MelQ,UCRwA1NUcUnwsly35ikGhp0A,@eugeneramirez4405,@eugeneramirez4405,True,Ugw1ZzA21njWhaqQQTh4AaABAg,0,0,hace 20 horas,Imagine if they had to walk back home.,imagine if they had to walk back home,[],[],[],[]
Ugw2014OIYf336oytFt4AaABAg,yLZS3JiEBg8,UCXl30Y_upRqbti52fmjK4YA,UCE4rsXcgDb6e1-a9iTbWzfg,@capitanfrans,@capitanfrans,False,,0,0,hace 2 años,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,buenísima investigación hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peacir,[],[],[],[]
Ugw2bSVOoNn2pc8ZcUl4AaABAg,n8iP75gIpmw,UCRelkU8JiZBytTzebJxaa-w,UCE4rsXcgDb6e1-a9iTbWzfg,@danyraymundo2942,@danyraymundo2942,False,,3,0,hace 2 años,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",lleven lonchera sacrifiquensir reintevrir dinero robar,[],[],[],[]
Ugw3gnUvLp6AqO0_odt4AaABAg,lj983NWyAQY,UCgLurCo-e019HGODcjXHWCw,UCXa6LVjBzUtmcM3cwbd9e2w,@perritojuega1,@perritojuega1,False,,2,0,hace 5 años,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,viva guatemala 🇬🇹 🇬🇹 🇬🇹 🥳 🥳 🥳,[],[],[],"['🇬🇹', '🇬🇹', '🇬🇹', '🥳', '🥳', '🥳']"
Ugw4C1ijI36l6LAiSZh4AaABAg,n8iP75gIpmw,UCDIMztpVm7G27qBuiWuT6oQ,UCE4rsXcgDb6e1-a9iTbWzfg,@lizardomorataya8274,@lizardomorataya8274,False,,0,0,hace 2 años,LADRONES !!!!,ladrón,[],[],[],[]
Ugw4St_YnT9_Ya5xSPt4AaABAg,ndAZjHqzzT8,UCZOmq6MwFDVoCaEl99BRRaw,UCE4rsXcgDb6e1-a9iTbWzfg,@daniloarevalo3170,@daniloarevalo3170,False,,0,0,hace 1 año,"Otro pequeño truco es que tenés un plan mensual de Gb y redes ilimitadas y luego te mandan mensaje que consumiste el 95% de tu plan y ahi viene el caos verificas el consumo de tus datos y solo has utilizado redes, con un mínimo de internet y por ende hay que hacer una recarga adicional,,, porque vas a averiguar y solo te dicen que sí consumiste tus datos y ya,,,,a recargar,,un negoció redondo para ambas empresas 🤮🤮😠😠💵💵","pequeño truco tenés plan mensual gb red ilimitado mandan mensaje consumistir 95% plan venir caos verifica consumo dato utilizar red mínimo internet ende recarga adicional averiguar consumistir dato ya,,,,a recargar,,un negociar redondo empresa 🤮 🤮 😠 😠 💵 💵",[],[],[],"['🤮', '🤮', '😠', '😠', '💵', '💵']"
Ugw4ccnmIWJaE6VNRWN4AaABAg,6W4u8sGEnGM,UCFybmWapGvBKcQod7cPPH9w,UC-ZtFBHzgkYFh7whZkuR_Ag,@vitalianochavez8382,@vitalianochavez8382,False,,1,0,hace 5 días,Que bien que cambio de nombre,cambio nombre,[],[],[],[]
Ugw5E402-fn52PLXFIJ4AaABAg,n8iP75gIpmw,UCh5ESQvtzyHDhCA7XyekCFA,UCE4rsXcgDb6e1-a9iTbWzfg,@andyB5280,@andyB5280,False,,0,0,hace 2 años,Tiene un poquito de oro y no habla como resolver los problemas .,poquito oro resolver problema,[],[],[],[]
Ugw5URsiAF9QVoniY-l4AaABAg,n8iP75gIpmw,UCWIZUtKJ636y-4TYrNvok0g,UCE4rsXcgDb6e1-a9iTbWzfg,@cesarandreas7824,@cesarandreas7824,False,,5,0,hace 2 años,"Si a los diputados no les alcanza el sueldo que se busquen otro trabajo,  ya sea de los departamentos o de la capital.",diputado alcanzar sueldo buscar trabajo departamento capital,[],[],[],[]
