comment_id,video_id,sentimiento,prob_neg,prob_neu,prob_pos,puntaje_sentimiento
Ugw-J65a1iYL9hqhELh4AaABAg,j43HgwYFKfk,NEG,0.8078,0.1463,0.0459,-0.7619
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,06mFNPU0aB8,NEG,0.9651,0.0291,0.0058,-0.9593
Ugw0xaOb2CYXXoudtwJ4AaABAg,j43HgwYFKfk,NEG,0.9714,0.026,0.0027,-0.9687
Ugw0xgUc2ISpBr5_T654AaABAg,j43HgwYFKfk,NEG,0.7019,0.2676,0.0305,-0.6714
Ugw1ZzA21njWhaqQQTh4AaABAg,OkXlHx0hx-8,NEG,0.8103,0.1704,0.0192,-0.7911
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,OkXlHx0hx-8,NEU,0.309,0.5396,0.1514,-0.1576
Ugw2014OIYf336oytFt4AaABAg,yLZS3JiEBg8,POS,0.0219,0.3888,0.5893,0.5674
Ugw2bSVOoNn2pc8ZcUl4AaABAg,n8iP75gIpmw,NEG,0.5835,0.3767,0.0398,-0.5437
Ugw3gnUvLp6AqO0_odt4AaABAg,lj983NWyAQY,NEU,0.1579,0.6771,0.1649,0.007
Ugw4C1ijI36l6LAiSZh4AaABAg,n8iP75gIpmw,NEG,0.5816,0.2898,0.1286,-0.453
Ugw4St_YnT9_Ya5xSPt4AaABAg,ndAZjHqzzT8,NEG,0.9143,0.0802,0.0055,-0.9088
Ugw4ccnmIWJaE6VNRWN4AaABAg,6W4u8sGEnGM,POS,0.025,0.0753,0.8998,0.8748
Ugw5E402-fn52PLXFIJ4AaABAg,n8iP75gIpmw,NEG,0.7197,0.2553,0.0251,-0.6946
Ugw5URsiAF9QVoniY-l4AaABAg,n8iP75gIpmw,NEG,0.8866,0.1064,0.007,-0.8796
Ugw5xMAuDaygo77ynI94AaABAg,n8iP75gIpmw,NEG,0.9809,0.016,0.0031,-0.9778
Ugw6cfXYfV4H-asKlDR4AaABAg,TT4qJ5FXHYE,NEG,0.975,0.0215,0.0035,-0.9715
Ugw74asIfir0_SVC6OB4AaABAg,j43HgwYFKfk,NEU,0.2984,0.6855,0.0162,-0.2822
Ugw86zOgTwKzYotlT9l4AaABAg,n8iP75gIpmw,NEG,0.9045,0.089,0.0065,-0.898
Ugw8iZ_G2Cwq-9ZYctt4AaABAg,j43HgwYFKfk,NEG,0.9449,0.0436,0.0115,-0.9334
Ugw8pyxscJNUQpfoKuF4AaABAg,n8iP75gIpmw,NEG,0.7941,0.1953,0.0106,-0.7835
Ugw9_Qw_QaSdggWuKJt4AaABAg,06mFNPU0aB8,NEU,0.1227,0.8153,0.0621,-0.0606
Ugw9eye2GML6RHRSu-14AaABAg,n8iP75gIpmw,NEG,0.9528,0.0373,0.0099,-0.9429
UgwA5aTmgACLCuTUT494AaABAg,lj983NWyAQY,POS,0.0107,0.1314,0.8579,0.8472
UgwARHTnVAzzPrHbNox4AaABAg,n8iP75gIpmw,POS,0.0029,0.0233,0.9738,0.9709
UgwBIwUPLGxEWAu3Mh14AaABAg,X_FAIef8qlE,NEG,0.8916,0.1051,0.0034,-0.8882
UgwCW5PErySUmwse3bZ4AaABAg,OkXlHx0hx-8,NEU,0.4656,0.4727,0.0617,-0.4039
UgwCfRlzeiXz172UQQV4AaABAg,yLZS3JiEBg8,POS,0.0028,0.0355,0.9617,0.9589
UgwCw9bhAw6suYQfCWx4AaABAg,j43HgwYFKfk,POS,0.0306,0.2022,0.7672,0.7366
